,GEOID,POP,FULL_NAME,LAT,LON,DISTANCE_TO_TOP_RIGHT
840,6459,39151711402,Census Tract 7114.02  Stark County  Ohio,40.8386356,-81.4774988,1.9632243046758493
841,2705,39035177404,Census Tract 1774.04  Cuyahoga County  Ohio,41.3894571,-81.7402421,1.9641135244312184
842,2020,39035161600,Census Tract 1616  Cuyahoga County  Ohio,41.480723600000005,-81.7784046,1.964464299169962
843,4286,39151713402,Census Tract 7134.02  Stark County  Ohio,40.8042813,-81.4602309,1.9661545199720099
844,4457,39151713300,Census Tract 7133  Stark County  Ohio,40.7684401,-81.44350159999999,1.9721205276673448
845,1916,39035177609,Census Tract 1776.09  Cuyahoga County  Ohio,41.355917299999994,-81.72962779999999,1.9726891499792212
846,1462,39013011600,Census Tract 116  Belmont County  Ohio,40.018152799999996,-80.7468026,1.9752871882995606
847,6880,39151711312,Census Tract 7113.12  Stark County  Ohio,40.8709023,-81.502549,1.9776039778890073
848,4570,39035175105,Census Tract 1751.05  Cuyahoga County  Ohio,41.3296757,-81.7210458,1.9789111615680366
849,4241,39153531601,Census Tract 5316.01  Summit County  Ohio,40.9692235,-81.5542088,1.9794421309518389
850,4541,39013012400,Census Tract 124  Belmont County  Ohio,40.0719854,-80.8649024,1.9797690808449593
851,5553,39035124100,Census Tract 1241  Cuyahoga County  Ohio,41.4543235,-81.7740204,1.9801910949593557
852,3938,39035160500,Census Tract 1605  Cuyahoga County  Ohio,41.493263299999995,-81.79041740000001,1.981366650561991
853,3602,39035123501,Census Tract 1235.01  Cuyahoga County  Ohio,41.464013200000004,-81.7785828,1.981609338842227
854,1971,39151713202,Census Tract 7132.02  Stark County  Ohio,40.7436514,-81.43508809999999,1.9820959341083912
855,3826,39035161500,Census Tract 1615  Cuyahoga County  Ohio,41.4768637,-81.78414690000001,1.9823619377248347
856,3723,39035177606,Census Tract 1776.06  Cuyahoga County  Ohio,41.3726751,-81.7416857,1.9843081887681018
857,1489,39013011500,Census Tract 115  Belmont County  Ohio,40.009733600000004,-80.74880870000001,1.9844640507432887
858,6029,39153510302,Census Tract 5103.02  Summit County  Ohio,41.0036863,-81.575715,1.988249629001008
859,3319,39035178201,Census Tract 1782.01  Cuyahoga County  Ohio,41.3914734,-81.75193359999999,1.9898556946497281
860,3220,39035196400,Census Tract 1964  Cuyahoga County  Ohio,41.4432242,-81.7736744,1.9904496970305698
861,4403,39013011400,Census Tract 114  Belmont County  Ohio,40.0177018,-80.7859443,1.9919747486708894
862,4191,39153510200,Census Tract 5102  Summit County  Ohio,41.031513399999994,-81.5915907,1.992957771050092
863,5827,39153533400,Census Tract 5334  Summit County  Ohio,41.0808405,-81.61574509999998,1.9940989661967767
864,3206,39035161400,Census Tract 1614  Cuyahoga County  Ohio,41.477906,-81.7912518,1.9987796928816393
865,5644,39153532301,Census Tract 5323.01  Summit County  Ohio,41.177394,-81.66270949999999,1.9990131137922327
866,5473,39151713501,Census Tract 7135.01  Stark County  Ohio,40.8181756,-81.4863279,1.9999818935716263
